movie_year;movie_title;bechdel_test;bechdel_test_binary;budget;US_profit;Int_Profit
2013;21 & Over;2;0;13000000;25682380;42195766
2012;Dredd 3D;5;1;45658735;13611086;41467257
2013;12 Years a Slave;2;0;20000000;53107035;158607035
2013;2 Guns;2;0;61000000;75612460;132493015
2013;42;3;0;40000000;95020213;95020213
2013;47 Ronin;3;0;225000000;38362475;145803842
2013;A Good Day to Die Hard;2;0;92000000;67349198;304249198
2013;About Time;5;1;12000000;15323921;87324746
2013;Admission;5;1;13000000;18007317;18007317
2013;After Earth;2;0;130000000;60522097;244373198
2013;American Hustle;5;1;40000000;148430908;249484909
2013;August: Osage County;5;1;25000000;37304874;50304874
2013;Beautiful Creatures;5;1;50000000;19452138;55940671
2013;Blue Jasmine;5;1;18000000;33345833;68447831
2013;Captain Phillips;2;0;55000000;107136417;218743570
2013;Carrie;5;1;30000000;35266619;85001659
2013;Cloudy with a Chance of Meatballs 2;1;0;78000000;119640264;271725448
2013;Despicable Me 2;5;1;76000000;368065385;970766005
2013;Don Jon;4;0;5500000;24477704;26377704
2013;Elysium;5;1;120000000;93050117;286192091
2013;Ender's Game;3;0;110000000;61737191;89737191
2013;Epic;5;1;100000000;107518682;268418682
2013;Escape from Planet Earth;5;1;40000000;57012977;66454811
2013;Escape Plan;3;0;70000000;25213103;103813103
2013;Evil Dead;5;1;17000000;54239856;97402049
2013;Fast and Furious 6;5;1;160000000;238679850;788128122
2013;Frozen;5;1;150000000;393050114;1004550114
2013;G.I. Joe: Retaliation;5;1;140000000;122523060;371923060
2013;Gangster Squad;2;0;60000000;46000903;104100903
2013;Gloria;5;1;30000000;4167493;4967493
2013;Gravity;1;0;110000000;271814796;708714796
2013;Grown Ups 2;3;0;80000000;133668525;247023808
2013;Hansel & Gretel: Witch Hunters;5;1;50000000;55703475;225703475
2013;Her;3;0;23000000;25000178;33029713
2013;Identity Thief;3;0;35000000;134506920;176269721
2013;Insidious: Chapter 2;3;0;5000000;83586447;161911222
2013;Iron Man 3;4;0;200000000;408992272;1212692272
2013;Jack the Giant Slayer;1;0;195000000;65187603;197387603
2013;Kick-Ass 2;5;1;28000000;28795985;60839197
2013;Last Vegas;2;0;28000000;63914167;112914167
2013;The Butler;5;1;30000000;116632095;151513429
2013;Machete Kills;5;1;2000000;8008161;9408161
2013;Mama;5;1;15000000;71628180;148041253
2013;Man of Steel;5;1;225000000;291045518;687999518
2013;Nebraska;5;1;12000000;17482517;17482517
2013;Now You See Me;2;0;75000000;117723989;351723989
2013;Oblivion;3;0;120000000;89107235;287537983
2013;Olympus Has Fallen;2;0;70000000;98927592;150562164
2013;Oz the Great and Powerful;5;1;200000000;234770996;489570996
2013;Pacific Rim;2;0;190000000;101802906;411002906
